epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1816.06,1.18175,5.49573,1.70451,0.53282,0.18388,0.13196,0.10266,1.2608,43.1934,1.92762,0.00012,0.00012,0.00012
2,3405.22,0.98899,2.57678,1.49357,0.40942,0.34295,0.40827,0.27043,1.14678,7.00805,1.88643,0.0002401,0.0002401,0.0002401
3,4904.7,0.94462,1.95634,1.39131,0.74583,0.48467,0.54557,0.3473,1.31957,2.81531,2.01663,0.000349904,0.000349904,0.000349904
4,6420.51,0.9579,1.65349,1.40472,0.6872,0.57525,0.61459,0.36947,1.45419,2.73288,2.28294,0.000449412,0.000449412,0.000449412
5,7828.29,0.94388,1.5394,1.42096,0.49099,0.48975,0.47727,0.27893,1.35449,2.68721,2.27738,0.000538624,0.000538624,0.000538624
6,9311.38,1.01794,1.42654,1.4643,0.4492,0.53716,0.41437,0.27088,1.42989,3.34328,2.07531,0.00061754,0.00061754,0.00061754
7,10782.4,0.98958,1.46415,1.44649,0.67421,0.37287,0.45452,0.28063,1.36872,2.62294,2.08463,0.00068616,0.00068616,0.00068616
8,12200.2,0.98644,1.3557,1.45508,0.56206,0.50277,0.49508,0.31007,1.29187,2.8499,2.45658,0.0007228,0.0007228,0.0007228
9,73264.1,0.93989,1.26741,1.39197,0.231,0.41316,0.26543,0.13601,1.84544,3.24268,3.6347,0.0006832,0.0006832,0.0006832
10,74726.9,0.93463,1.22906,1.39514,0.38183,0.39157,0.33228,0.13852,2.29536,3.49196,3.98366,0.0006436,0.0006436,0.0006436
11,76274.1,0.89348,1.23084,1.38242,0.44492,0.62443,0.50543,0.31639,1.5327,2.10077,2.29687,0.000604,0.000604,0.000604
12,77799.9,0.98015,1.1917,1.45501,0.6572,0.54189,0.61067,0.36869,1.50799,2.1332,2.42576,0.0005644,0.0005644,0.0005644
13,79249.5,0.89833,1.09463,1.35995,0.57588,0.50969,0.58399,0.36975,1.30359,1.90008,2.26534,0.0005248,0.0005248,0.0005248
14,80693.2,0.94742,1.09481,1.39165,0.60651,0.66621,0.62937,0.42389,1.2204,1.66321,1.98152,0.0004852,0.0004852,0.0004852
15,82190.9,0.85957,0.97288,1.33629,0.61952,0.57347,0.58411,0.34088,1.44946,1.77215,2.12442,0.0004456,0.0004456,0.0004456
16,83624,0.95681,1.32143,1.61262,0.64955,0.68444,0.68744,0.43845,1.42841,1.39919,2.07341,0.000406,0.000406,0.000406
17,84956.3,0.88066,0.99363,1.48865,0.65535,0.5738,0.70227,0.45625,1.21741,1.57528,1.86359,0.0003664,0.0003664,0.0003664
18,86302.3,0.85513,0.95103,1.4782,0.51007,0.75263,0.65338,0.44619,1.15788,1.78681,1.85427,0.0003268,0.0003268,0.0003268
19,7667.93,0.81497,1.00123,2.43056,0.62331,0.68625,0.73042,0.48109,1.09829,1.8737,1.73648,0.0002872,0.0002872,0.0002872
20,14233.9,0.81291,0.87979,1.47656,0.74722,0.61966,0.7707,0.50747,1.07908,1.32246,1.74196,0.0002476,0.0002476,0.0002476
21,41414.1,0.78699,0.81854,2.02141,0.65541,0.65821,0.72592,0.48336,1.13414,1.27395,1.82061,0.000208,0.000208,0.000208
22,5061.65,0.66616,0.71637,6.81424,0.73001,0.6225,0.73419,0.50203,1.18335,1.38498,4.8747,0.0001684,0.0001684,0.0001684
23,3015.21,0.59615,0.61552,6.15765,0.8034,0.65288,0.74862,0.52564,1.09997,1.30695,1.81159,0.0001288,0.0001288,0.0001288
24,5734.38,0.57672,0.62246,1.23621,0.79667,0.68351,0.76463,0.54068,1.07375,1.26238,1.7767,8.92e-05,8.92e-05,8.92e-05
25,3350.77,0.49589,0.51923,9.0416,0.79505,0.71099,0.76796,0.55014,1.08916,1.22909,1.79954,4.96e-05,4.96e-05,4.96e-05
